name,inn,type,region,manager
ООО Ромашка,7701234567,buyer,Москва,Иванова А.С.
ООО ТехноСнаб,7812345678,supplier,Санкт-Петербург,Петров В.И.
АО СтройИнвест,5027012345,buyer,Московская обл.,Сидорова Е.П.
ООО Вектор,6658123456,both,Екатеринбург,Козлов Д.М.
ООО Альфа-Трейд,7709876543,buyer,Москва,Иванова А.С.
ООО МеталлоПром,5245123456,supplier,Нижний Новгород,Петров В.И.
ИП Смирнов А.А.,526001234567,buyer,Казань,Сидорова Е.П.
ООО ЛогистикГрупп,7815987654,supplier,Санкт-Петербург,Козлов Д.М.
АО НПО Энергия,7712340987,buyer,Москва,Иванова А.С.
ООО СтройМастер,6654123456,both,Екатеринбург,Козлов Д.М.
ООО ПродТорг,7705678123,buyer,Москва,Сидорова Е.П.
ООО УралХим,6650987654,supplier,Пермь,Петров В.И.
ООО ДорСервис,5245987654,buyer,Нижний Новгород,Козлов Д.М.
ООО СветТех,7719876543,supplier,Москва,Петров В.И.
ООО Гарант-Строй,5027456789,buyer,Московская обл.,Иванова А.С.
ООО ТоргСервис,7812340987,buyer,Санкт-Петербург,Сидорова Е.П.
ООО КомплектПоставка,5245981234,supplier,Тула,Петров В.И.
ООО СеверТорг,2901234567,buyer,Архангельск,Козлов Д.М.
