number,date,counterparty,amount,purpose
ПЛ-00011,2026-01-17,ООО Альфа-Трейд,3638302.44,Оплата по счёту СБ-00015
ПЛ-00003,2026-01-26,ООО Ромашка,494132.96,Оплата по счёту СБ-00003
ПЛ-00001,2026-02-01,ООО ТоргСервис,190547.54,Оплата по счёту СБ-00001
ПЛ-00021,2026-02-01,ООО КомплектПоставка,838423.63,Оплата по счёту ВХ-00006
ПЛ-00019,2026-02-08,ООО МеталлоПром,2131617.58,Оплата по счёту ВХ-00003
ПЛ-00017,2026-02-10,ООО ДорСервис,3927692.08,Оплата по счёту СБ-00024
ПЛ-00002,2026-02-11,ООО СеверТорг,3071011.73,Оплата по счёту СБ-00002
ПЛ-00005,2026-02-11,ИП Смирнов А.А.,1031686.83,Оплата по счёту СБ-00006
ПЛ-00018,2026-02-11,ООО Альфа-Трейд,866349.61,Оплата по счёту СБ-00025
ПЛ-00026,2026-02-11,ООО Вектор,1324230.83,Оплата по счёту ВХ-00014
ПЛ-00007,2026-02-19,ООО ДорСервис,4381171.68,Оплата по счёту СБ-00008
ПЛ-00004,2026-02-24,ООО ДорСервис,3244806.69,Оплата по счёту СБ-00004
ПЛ-00009,2026-02-26,АО НПО Энергия,3042174.27,Оплата по счёту СБ-00012
ПЛ-00020,2026-03-09,ООО СветТех,2976788.37,Оплата по счёту ВХ-00004
ПЛ-00016,2026-03-13,ООО ДорСервис,2186083.21,Оплата по счёту СБ-00021
ПЛ-00027,2026-03-20,ООО Вектор,661592.83,Оплата по счёту ВХ-00015
ПЛ-00013,2026-03-23,ООО Вектор,697166.01,Оплата по счёту СБ-00017
ПЛ-00024,2026-04-03,ООО КомплектПоставка,2523704.99,Оплата по счёту ВХ-00011
ПЛ-00008,2026-04-09,АО СтройИнвест,1308643.33,Оплата по счёту СБ-00011
ПЛ-00006,2026-04-23,АО СтройИнвест,1147777.53,Оплата по счёту СБ-00007
ПЛ-00023,2026-05-21,ООО Вектор,807334.55,Оплата по счёту ВХ-00009
ПЛ-00014,2026-05-23,ООО ДорСервис,481819.60,Оплата по счёту СБ-00019
ПЛ-00025,2026-05-26,ООО СветТех,2772447.39,Оплата по счёту ВХ-00013
ПЛ-00022,2026-06-13,ООО ЛогистикГрупп,751482.59,Оплата по счёту ВХ-00007
ПЛ-00010,2026-07-07,ООО Гарант-Строй,418216.41,Оплата по счёту СБ-00013
ПЛ-00012,2026-07-09,ООО Гарант-Строй,735438.11,Оплата по счёту СБ-00016
ПЛ-00015,2026-07-10,ООО Вектор,972973.53,Оплата по счёту СБ-00020
