counterparty,contract,invoice,amount,invoice_date,overdue_days,status
ООО ПродТорг,Договор СБ-00023,СБ-00023,4295866.40,2026-01-01,121,overdue
ООО ТоргСервис,Договор СБ-00009,СБ-00009,3993696.73,2026-06-08,8,overdue
ИП Смирнов А.А.,Договор СБ-00014,СБ-00014,3121675.86,2026-06-13,18,overdue
ИП Смирнов А.А.,Договор СБ-00022,СБ-00022,2913051.15,2026-07-16,0,current
АО СтройИнвест,Договор СБ-00007,СБ-00007,2678147.57,2026-04-02,60,overdue
ООО ДорСервис,Договор СБ-00021,СБ-00021,2186083.22,2026-03-06,117,overdue
ООО СеверТорг,Договор СБ-00018,СБ-00018,1973677.52,2026-05-30,2,overdue
ООО Ромашка,Договор СБ-00026,СБ-00026,1512769.77,2026-06-03,28,overdue
ООО ПродТорг,Договор СБ-00005,СБ-00005,1309602.93,2026-05-31,31,overdue
ООО Ромашка,Договор СБ-00010,СБ-00010,1087310.38,2026-06-19,0,current
ООО Вектор,Договор СБ-00020,СБ-00020,972973.52,2026-06-24,7,overdue
ООО Альфа-Трейд,Договор СБ-00025,СБ-00025,866349.62,2026-02-09,142,overdue
ООО Гарант-Строй,Договор СБ-00016,СБ-00016,735438.12,2026-07-03,0,current
ООО Гарант-Строй,Договор СБ-00013,СБ-00013,418216.42,2026-06-12,0,current
